23 columns delimited by 22 spaces:

B = Bass (2 columns, played syncopated over 8 quavers in a bar)
H = Harmony (5 columns, played rotating over 8 quavers)
M = Melody 1 (8 columns played in series, each is a quaver long)
N = Melody 2 (8 columns)

B1	B2	H1	H2	H3	H4	H5	M1	M2	M3	M4	M5	M6	M7	M8	N1	N2	N3	N4	N5	N6	N7	N8	Comment
,,C	,C	,F#~11	Ab~13	C	F#~11	`Ab~13									``E'	X	``F#~11	X	```D	X	``C	X	Intro
,,C	,C	,E'	G	C	E'	`Bb~7									``Bb~7		``G		`E'		`C		
,,,F	,,F	,F	,A'	C	F	A'	X		F		X	C		X	X								7a (major)
,,,A'	,,A'	,F	,A'	C	F	A'	,Bb		X	C		X	,D'										
,,,Bb	,,Bb	,F	,Bb	,D'	F	Bb				X							G'		X	`Fb.~7		X	
,,,,G'	,,,G'	,F	,Bb	,D'	F	Bb									`F		X	D'				X	
,,C	,C	G	C	E'	`G	`C	X		`G		X	E'		X									
,,Bb~7	,Bb~7	G	C	E'	`G	`C	Eb~19		X	C#~17		X	C										
,,,A'	,,A'	,F	,A'	C	F	A'						X					`A'		X	`Bb		X	
,,G	,G	,F	,A'	C	F	A'									``C	X	``G	`F	X	`F	``G	`A'	
,,,F	,,F	,F	,A'	C	F	A'	X		F		X	C		X		X							
,,,A'	,,A'	,F	,A'	C	F	A'	`G		X	F		X	F										
,,,Bb	,,Bb	,F	,Bb	,D'	F	Bb					X						`F		X	`Bb		X	
,,,,G'	,,,G'	,F	,Bb	,D'	F	Bb									``C		X	`Bb			`F		
,,C	,C	G	C	E'	`G	`C	X		E'		F#~11	X	`G		X				X				
,,Bb~7	,Bb~7	G	C	E'	`G	`C	`Ab~13		X	`Bb~7		X	`C										
,,,A'	,,A'	,F	,A'	C	F	A'				X							``Ab~13		X	``C		X	
,,G	,G	,F	,A'	C	F	A'									``Bb~7	``Bb~7	D'	`F	X	`F	``G	`F	
,,,F	,,F	,F	,A'	C	F	A'	X		F		X	C		X	X								7b (major)
,,,A'	,,A'	,F	,A'	C	F	A'	,Bb		X	C		X	E'										
,,,Bb	,,Bb	,F	,Bb	,D'	F	Bb	,D'			X							G'		X	`Fb.~7		X	
,,,,G'	,,,G'	,F	,Bb	,D'	F	Bb	X								`F		X	`A'		X			
,,C	,C	G	C	E'	`G	`C	X		`G		X	E'		X									
,,Bb~7	,Bb~7	G	C	E'	`G	`C	Eb~19		X	C#~17		X	B'										
,,,A'	,,A'	,F	,A'	C	F	A'	C			X							`A'		X	`Bb		X	
,,G	,G	,F	,A'	C	F	A'	X								``C		X	`F	X	`F	`Bb	`A'	
,,,F	,,F	,F	,A'	C	F	A'	X		F		X	C		X		X							
,,,A'	,,A'	,F	,A'	C	F	A'	`G		X	A'		X	F										
,,,Bb	,,Bb	,F	,Bb	,D'	F	Bb				X							``C		X	`Bb		X	
,,,,G'	,,,G'	,F	,Bb	,D'	F	Bb									`F		X	`A'			X		
,,C	,C	G	C	E'	`G	`C	X		E'	X	`G		`Bb~7										
,,Bb~7	,Bb~7	G	C	E'	`G	`C	`C#~17		X	`C			X										
,,,A'	,,A'	,F	,A'	C	F	A'	F					X											
,,G	,G	,F	G	C	F	`G																	
,,F	,,,F	,F	,Bb	C	F	Bb																	Interlude
,,F	,,,F	,F	Bb~7	C#~17	E'	`G																	
,,,F	,,F	,F	,A'	C	Eb~7	`G									``G	X		`F			X		1 (major / 13th)
