Code, Default, Description
200 ,   0    , (New) column 1: control
300 ,   0    , Col 2: channel
400 ,   0    , Col 3: length (beats)
500 ,   0    , Col 4: frequency or parameter
510 ,   0    , Col 5: frequency interpolation type
600 ,   0    , Col 6: amplitude in dB
610 ,  1     , Col 7: amplitude interpolation type - default to 1 (linear)
620 ,   0    , Col 8: amplitude tied to previous note (boolean)
630 ,   0    , Col 9: amplitude ends at next note (boolean)
640 ,   0    , Col 10: note length (ms) - negative is subtracted from end of note
650 ,   0    , Col 11: note length percent multiply
700 ,   0    , Col 12: stereo position
710 ,   0    , Col 13: stereo interpolation type

0,0
0,0,0,0
0

,
,
